Title,URL,Location,Confirmed_US
Sr. Process Control Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jubail-Saudi-Arabia/Sr-Process-Control-Engineer_JR-2024-13653?q=Data%20Engineer,"Jubail, Saudi Arabia",False
Senior Cost & Change Controller- NEOM GHE,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Duba-Saudi-Arabia/Senior-Cost---Change-Controller--NEOM-GHE_JR-2025-15349-1?q=Data%20Engineer,"Duba, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-14681-1?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-15452?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-15454?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-15455?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-15456?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-15457?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Document Controller,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Document-Controller_JR-2025-15459?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Cost Control Lead,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Houston-Texas/Cost-Control-Lead_JR-2025-16312?q=Data%20Engineer,"Houston, Texas",True
Fall Co-op / Chemical Engineer FY2025,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Allentown-Pennsylvania/Fall-Co-op---Chemical-Engineer-FY2025_JR-2025-14566?q=Data%20Engineer,2 Locations,False
Mobile HGV Technician,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Bargeddie-GB-Cyl-depot-0A18/Mobile-HGV-automotive-vehicle-technician_JR-2025-15080?q=Data%20Engineer,2 Locations,False
Planning and Scheduling Team Manager,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Bethlehem-Pennsylvania/Planning-and-Scheduling-Team-Manager_JR-2025-16201?q=Data%20Engineer,"Bethlehem, Pennsylvania",True
Rotoflow Machinery Tech I (Manual Machinist),https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Bethlehem-Pennsylvania/Rotoflow-Machinery-Tech-I_JR-2025-16104?q=Data%20Engineer,"Bethlehem, Pennsylvania",True
Snr. Process Tech,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Pucheng-CN-0C43/Snr-Process-Tech_JR-2025-15975?q=Data%20Engineer,Pucheng CN (0C43),False
Process Tech,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/XiAn-Shaanxi/Process-Tech_JR-2025-16741?q=Data%20Engineer,"Xi'An, Shaanxi",False
Process Tech,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/XiAn-Shaanxi/Process-Tech_JR-2025-16725?q=Data%20Engineer,"Xi'An, Shaanxi",False
Fleet Workshop Technician Walkden,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Walkden-United-Kingdom/Fleet-Workshop-Technician-Walkden_JR-2025-15648?q=Data%20Engineer,"Walkden, United Kingdom",True
Preventie Adviseur,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Brussels-Belgium/Preventie-Adviseur_JR-2025-16350?q=Data%20Engineer,2 Locations,False
Process Technician,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/XiAn-Shaanxi/Process-Technician_JR-2025-15629?q=Data%20Engineer,"Xi'An, Shaanxi",False
Process Technician,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/XiAn-Shaanxi/Process-Technician_JR-2025-15888?q=Data%20Engineer,"Xi'An, Shaanxi",False
Business Development Manager,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Bethlehem-Pennsylvania/Business-Development-Manager_JR-2025-16455?q=Data%20Engineer,2 Locations,False
Account Manager,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Edmonton-Alberta/Account-Manager_JR-2025-16133?q=Data%20Engineer,"Edmonton, Alberta",False
